NODE_KEY,PRODUCT_ID,TYPE_CODE,CATEGORY,DESCRIPTION,SUPPLIER_GUID_NODE_KEY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE,WEIGHT_UNIT,CURRENCY_CODE,PRICE,WIDTH,DEPTH,HEIGHT,DIM_UNIT
770e8400e29b41d4a716446655440001,PRD001,01,Electronics,Laptop,660e8400e29b41d4a716446655440001,18,EA,2.5,KG,INR,55000,35,25,3,CM
770e8400e29b41d4a716446655440002,PRD002,01,Electronics,Mobile Phone,660e8400e29b41d4a716446655440002,18,EA,0.5,KG,INR,25000,15,8,1,CM
770e8400e29b41d4a716446655440003,PRD003,02,Furniture,Office Chair,660e8400e29b41d4a716446655440003,12,EA,7,KG,INR,6500,60,60,120,CM
770e8400e29b41d4a716446655440004,PRD004,02,Furniture,Wooden Table,660e8400e29b41d4a716446655440004,12,EA,15,KG,INR,12000,120,60,75,CM
770e8400e29b41d4a716446655440005,PRD005,01,Electronics,LED TV,660e8400e29b41d4a716446655440005,18,EA,10,KG,INR,45000,110,10,70,CM
770e8400e29b41d4a716446655440006,PRD006,03,Appliances,Refrigerator,660e8400e29b41d4a716446655440006,18,EA,45,KG,INR,38000,70,75,180,CM
770e8400e29b41d4a716446655440007,PRD007,03,Appliances,Washing Machine,660e8400e29b41d4a716446655440007,18,EA,55,KG,INR,32000,65,70,100,CM
770e8400e29b41d4a716446655440008,PRD008,01,Electronics,Tablet,660e8400e29b41d4a716446655440008,18,EA,0.8,KG,INR,18000,20,12,1,CM
770e8400e29b41d4a716446655440009,PRD009,02,Furniture,Sofa Set,660e8400e29b41d4a716446655440009,12,EA,40,KG,INR,55000,200,90,100,CM
770e8400e29b41d4a716446655440010,PRD010,01,Electronics,Desktop PC,660e8400e29b41d4a716446655440010,18,EA,8,KG,INR,70000,45,20,40,CM
770e8400e29b41d4a716446655440011,PRD011,03,Appliances,Microwave Oven,660e8400e29b41d4a716446655440011,18,EA,12,KG,INR,15000,50,40,35,CM
770e8400e29b41d4a716446655440012,PRD012,02,Furniture,Bed Frame,660e8400e29b41d4a716446655440012,12,EA,30,KG,INR,25000,200,180,100,CM
770e8400e29b41d4a716446655440013,PRD013,01,Electronics,Smart Watch,660e8400e29b41d4a716446655440013,18,EA,0.2,KG,INR,12000,5,5,1,CM
770e8400e29b41d4a716446655440014,PRD014,03,Appliances,Air Conditioner,660e8400e29b41d4a716446655440014,18,EA,35,KG,INR,42000,90,25,35,CM
770e8400e29b41d4a716446655440015,PRD015,01,Electronics,Bluetooth Speaker,660e8400e29b41d4a716446655440015,18,EA,1,KG,INR,3500,15,15,20,CM
770e8400e29b41d4a716446655440016,PRD016,02,Furniture,Bookshelf,660e8400e29b41d4a716446655440016,12,EA,18,KG,INR,9000,80,30,180,CM
770e8400e29b41d4a716446655440017,PRD017,03,Appliances,Water Purifier,660e8400e29b41d4a716446655440017,18,EA,9,KG,INR,14000,40,25,60,CM
770e8400e29b41d4a716446655440018,PRD018,01,Electronics,Camera,660e8400e29b41d4a716446655440018,18,EA,1.2,KG,INR,65000,18,12,10,CM
770e8400e29b41d4a716446655440019,PRD019,02,Furniture,Dining Table,660e8400e29b41d4a716446655440019,12,EA,25,KG,INR,30000,180,90,75,CM
770e8400e29b41d4a716446655440020,PRD020,03,Appliances,Vacuum Cleaner,660e8400e29b41d4a716446655440020,18,EA,6,KG,INR,11000,35,30,60,CM
