NODE_KEY,locale,DESCRIPTION
770e8400e29b41d4a716446655440001,en,Laptop
770e8400e29b41d4a716446655440002,en,Mobile Phone
770e8400e29b41d4a716446655440003,en,Office Chair
770e8400e29b41d4a716446655440004,en,Wooden Table
770e8400e29b41d4a716446655440005,en,LED TV
770e8400e29b41d4a716446655440006,en,Refrigerator
770e8400e29b41d4a716446655440007,en,Washing Machine
770e8400e29b41d4a716446655440008,en,Tablet
770e8400e29b41d4a716446655440009,en,Sofa Set
770e8400e29b41d4a716446655440010,en,Desktop PC
770e8400e29b41d4a716446655440011,en,Microwave Oven
770e8400e29b41d4a716446655440012,en,Bed Frame
770e8400e29b41d4a716446655440013,en,Smart Watch
770e8400e29b41d4a716446655440014,en,Air Conditioner
770e8400e29b41d4a716446655440015,en,Bluetooth Speaker
770e8400e29b41d4a716446655440016,en,Bookshelf
770e8400e29b41d4a716446655440017,en,Water Purifier
770e8400e29b41d4a716446655440018,en,Camera
770e8400e29b41d4a716446655440019,en,Dining Table
770e8400e29b41d4a716446655440020,en,Vacuum Cleaner
