NODE_KEY,PARENT_KEY_NODE_KEY,PO_ITEM_POS,PRODUCT_NODE_KEY,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT
880e8400e29b41d4a716446655440001,990e8400e29b41d4a716446655440001,10,770e8400e29b41d4a716446655440001,INR,64900,55000,9900
880e8400e29b41d4a716446655440002,990e8400e29b41d4a716446655440001,20,770e8400e29b41d4a716446655440002,INR,29500,25000,4500
880e8400e29b41d4a716446655440003,990e8400e29b41d4a716446655440002,10,770e8400e29b41d4a716446655440003,INR,7280,6500,780
880e8400e29b41d4a716446655440004,990e8400e29b41d4a716446655440002,20,770e8400e29b41d4a716446655440004,INR,13440,12000,1440
880e8400e29b41d4a716446655440005,990e8400e29b41d4a716446655440003,10,770e8400e29b41d4a716446655440005,INR,53100,45000,8100
880e8400e29b41d4a716446655440006,990e8400e29b41d4a716446655440003,20,770e8400e29b41d4a716446655440006,INR,44840,38000,6840
880e8400e29b41d4a716446655440007,990e8400e29b41d4a716446655440004,10,770e8400e29b41d4a716446655440007,INR,37760,32000,5760
880e8400e29b41d4a716446655440008,990e8400e29b41d4a716446655440004,20,770e8400e29b41d4a716446655440008,INR,21240,18000,3240
880e8400e29b41d4a716446655440009,990e8400e29b41d4a716446655440005,10,770e8400e29b41d4a716446655440009,INR,61600,55000,6600
880e8400e29b41d4a716446655440010,990e8400e29b41d4a716446655440005,20,770e8400e29b41d4a716446655440010,INR,82600,70000,12600
880e8400e29b41d4a716446655440011,990e8400e29b41d4a716446655440006,10,770e8400e29b41d4a716446655440011,INR,17700,15000,2700
880e8400e29b41d4a716446655440012,990e8400e29b41d4a716446655440006,20,770e8400e29b41d4a716446655440012,INR,28000,25000,3000
880e8400e29b41d4a716446655440013,990e8400e29b41d4a716446655440007,10,770e8400e29b41d4a716446655440013,INR,14160,12000,2160
880e8400e29b41d4a716446655440014,990e8400e29b41d4a716446655440007,20,770e8400e29b41d4a716446655440014,INR,49560,42000,7560
880e8400e29b41d4a716446655440015,990e8400e29b41d4a716446655440008,10,770e8400e29b41d4a716446655440015,INR,4130,3500,630
880e8400e29b41d4a716446655440016,990e8400e29b41d4a716446655440008,20,770e8400e29b41d4a716446655440016,INR,10080,9000,1080
880e8400e29b41d4a716446655440017,990e8400e29b41d4a716446655440009,10,770e8400e29b41d4a716446655440017,INR,16520,14000,2520
880e8400e29b41d4a716446655440018,990e8400e29b41d4a716446655440009,20,770e8400e29b41d4a716446655440018,INR,76700,65000,11700
880e8400e29b41d4a716446655440019,990e8400e29b41d4a716446655440010,10,770e8400e29b41d4a716446655440019,INR,33600,30000,3600
880e8400e29b41d4a716446655440020,990e8400e29b41d4a716446655440010,20,770e8400e29b41d4a716446655440020,INR,12980,11000,1980
