NODE_KEY,PO_ID,PARTNER_NODE_KEY,LIFECYCLE_STATUS,OVERALL_STATUS,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT
990e8400e29b41d4a716446655440001,PO001,660e8400e29b41d4a716446655440001,N,C,INR,94400,80000,14400
990e8400e29b41d4a716446655440002,PO002,660e8400e29b41d4a716446655440002,N,C,INR,20720,18500,2220
990e8400e29b41d4a716446655440003,PO003,660e8400e29b41d4a716446655440003,P,C,INR,97940,83000,14940
990e8400e29b41d4a716446655440004,PO004,660e8400e29b41d4a716446655440004,P,C,INR,59000,50000,9000
990e8400e29b41d4a716446655440005,PO005,660e8400e29b41d4a716446655440005,N,C,INR,144200,125000,19200
990e8400e29b41d4a716446655440006,PO006,660e8400e29b41d4a716446655440006,C,C,INR,45700,40000,5700
990e8400e29b41d4a716446655440007,PO007,660e8400e29b41d4a716446655440007,N,C,INR,63720,54000,9720
990e8400e29b41d4a716446655440008,PO008,660e8400e29b41d4a716446655440008,P,C,INR,14210,12500,1710
990e8400e29b41d4a716446655440009,PO009,660e8400e29b41d4a716446655440009,C,C,INR,93220,79000,14220
990e8400e29b41d4a716446655440010,PO010,660e8400e29b41d4a716446655440010,N,C,INR,46580,41000,5580
990e8400e29b41d4a716446655440011,PO011,660e8400e29b41d4a716446655440011,P,C,INR,94400,80000,14400
990e8400e29b41d4a716446655440012,PO012,660e8400e29b41d4a716446655440012,N,C,INR,20720,18500,2220
990e8400e29b41d4a716446655440013,PO013,660e8400e29b41d4a716446655440013,P,C,INR,97940,83000,14940
990e8400e29b41d4a716446655440014,PO014,660e8400e29b41d4a716446655440014,C,C,INR,59000,50000,9000
990e8400e29b41d4a716446655440015,PO015,660e8400e29b41d4a716446655440015,N,C,INR,144200,125000,19200
990e8400e29b41d4a716446655440016,PO016,660e8400e29b41d4a716446655440016,P,C,INR,45700,40000,5700
990e8400e29b41d4a716446655440017,PO017,660e8400e29b41d4a716446655440017,N,C,INR,63720,54000,9720
990e8400e29b41d4a716446655440018,PO018,660e8400e29b41d4a716446655440018,C,C,INR,14210,12500,1710
990e8400e29b41d4a716446655440019,PO019,660e8400e29b41d4a716446655440019,N,C,INR,93220,79000,14220
990e8400e29b41d4a716446655440020,PO020,660e8400e29b41d4a716446655440020,P,C,INR,46580,41000,5580purchaseorder-17409768,PO_ID-17409768,PARTNER_NODE_KEY-17409768,8,8,9768,3854005208781.72,568164437763.98,7186451277729.68
